Filename,Author,Date
app/build.gradle.kts,Niall Scott,2024-10-04
app/build.gradle.kts,Scott Alexander-Bown,2024-09-18
app/build.gradle.kts,Scott Alexander-Bown,2024-09-12
app/build.gradle.kts,Artsem Kurantsou,2024-08-17
app/build.gradle.kts,Artsem Kurantsou,2024-08-05
app/build.gradle.kts,Artsem Kurantsou,2024-08-04
app/proguard-rules.pro,Niall Scott,2024-10-04
app/proguard-rules.pro,Matthew Rollings,2017-05-12
app/proguard-rules.pro,Frieder Bluemle,2017-05-11
app/proguard-rules.pro,Scott Alexander-Bown,2015-06-19
build.gradle.kts,Niall Scott,2024-10-04
build.gradle.kts,Artsem Kurantsou,2024-08-17
build.gradle.kts,Artsem Kurantsou,2024-08-04
gradle.properties,Niall Scott,2024-10-04
gradle.properties,Scott Alexander-Bown,2024-09-18
gradle.properties,Scott Alexander-Bown,2024-09-12
gradle.properties,Scott Alexander-Bown,2021-05-21
gradle.properties,Scott Alexander-Bown,2021-05-04
gradle.properties,Matthew Rollings,2020-02-08
gradle.properties,Matthew Rollings,2020-02-03
gradle.properties,Daniel Kutik,2019-11-16
gradle.properties,Scott Alexander-Bown,2018-06-14
gradle.properties,Matthew Rollings,2017-05-12
gradle.properties,Frieder Bluemle,2017-05-11
gradle.properties,Scott Alexander-Bown,2017-03-29
gradle.properties,Scott Alexander-Bown,2016-05-18
gradle.properties,Scott Alexander-Bown,2016-03-14
gradle.properties,Scott Alexander-Bown,2015-09-16
gradle.properties,Scott Alexander-Bown,2015-06-30
gradle.properties,Scott Alexander-Bown,2015-06-19
gradle/libs.versions.toml,Niall Scott,2024-10-04
gradle/libs.versions.toml,Scott Alexander-Bown,2024-09-12
gradle/libs.versions.toml,Artsem Kurantsou,2024-08-04
gradle/libs.versions.toml,Artsem Kurantsou,2024-08-04
gradle/wrapper/gradle-wrapper.properties,Niall Scott,2024-10-04
gradle/wrapper/gradle-wrapper.properties,Artsem Kurantsou,2024-08-04
gradle/wrapper/gradle-wrapper.properties,Artsem Kurantsou,2024-08-04
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,2021-05-08
gradle/wrapper/gradle-wrapper.properties,Daniel Kutik,2020-01-31
gradle/wrapper/gradle-wrapper.properties,mat,2020-01-28
gradle/wrapper/gradle-wrapper.properties,Daniel Kutik,2019-11-16
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,2018-06-14
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,2018-05-11
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,2018-05-11
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,2017-05-12
gradle/wrapper/gradle-wrapper.properties,Frieder Bluemle,2017-05-11
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,2017-03-24
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,2017-03-24
gradle/wrapper/gradle-wrapper.properties,matthew,2017-03-13
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,2016-05-17
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,2015-06-19
rootbeerlib/build.gradle.kts,Niall Scott,2024-10-04
rootbeerlib/build.gradle.kts,Scott Alexander-Bown,2024-09-18
rootbeerlib/build.gradle.kts,Scott Alexander-Bown,2024-09-12
rootbeerlib/build.gradle.kts,Artsem Kurantsou,2024-08-05
rootbeerlib/build.gradle.kts,Artsem Kurantsou,2024-08-05
rootbeerlib/build.gradle.kts,Artsem Kurantsou,2024-08-04
rootbeerlib/proguard-rules.pro,Niall Scott,2024-10-04
rootbeerlib/proguard-rules.pro,Matthew Rollings,2017-05-12
rootbeerlib/proguard-rules.pro,Frieder Bluemle,2017-05-11
rootbeerlib/proguard-rules.pro,Scott Alexander-Bown,2015-06-26
settings.gradle.kts,Niall Scott,2024-10-04
settings.gradle.kts,Scott Alexander-Bown,2024-09-18
settings.gradle.kts,Artsem Kurantsou,2024-08-05
settings.gradle.kts,Artsem Kurantsou,2024-08-04
rootbeerlib/gradle.properties,Scott Alexander-Bown,2024-09-18
rootbeerlib/gradle.properties,Matthew Rollings,2017-05-12
rootbeerlib/gradle.properties,Frieder Bluemle,2017-05-11
rootbeerlib/gradle.properties,Scott Alexander-Bown,2015-06-30
README.md,Scott Alexander-Bown,2024-09-12
README.md,Scott Alexander-Bown,2024-09-12
README.md,Scott Alexander-Bown,2021-06-07
README.md,Harsh Mahajan,2021-06-07
README.md,Scott Alexander-Bown,2021-05-04
README.md,Prempal Singh,2020-07-27
README.md,Matthew Rollings,2020-07-21
README.md,Matthew Rollings,2020-02-07
README.md,mat,2020-02-04
README.md,Daniel Kutik,2020-01-31
README.md,Matthew Rollings,2020-01-30
README.md,mat,2020-01-28
README.md,mat,2020-01-28
README.md,mat,2020-01-28
README.md,zhqcqupt,2019-11-29
README.md,Matthew Rollings,2019-06-10
README.md,Jamie Cruwys,2019-05-02
README.md,Matthew Rollings,2018-11-04
README.md,Shanmugasanthosh,2018-11-04
README.md,Matthew Rollings,2018-06-25
README.md,Matthew Rollings,2017-05-12
README.md,Frieder Bluemle,2017-05-11
README.md,Scott Alexander-Bown,2017-03-29
README.md,Matthew Rollings,2017-03-29
README.md,Matthew Rollings,2017-03-24
README.md,Scott Alexander-Bown,2016-07-01
README.md,Scott Alexander-Bown,2016-05-18
README.md,Scott Alexander-Bown,2016-03-14
README.md,Scott Alexander-Bown,2016-01-06
README.md,Litrik De Roy,2016-01-06
README.md,Scott Alexander-Bown,2015-09-17
README.md,Scott Alexander-Bown,2015-09-17
README.md,Scott Alexander-Bown,2015-07-01
README.md,Scott Alexander-Bown,2015-06-30
README.md,Scott Alexander-Bown,2015-06-30
README.md,Matthew Rollings,2015-06-30
README.md,Matthew Rollings,2015-06-30
README.md,Matthew Rollings,2015-06-30
README.md,Scott Alexander-Bown,2015-06-30
README.md,Scott Alexander-Bown,2015-06-30
README.md,Scott Alexander-Bown,2015-06-30
README.md,Scott Alexander-Bown,2015-06-29
README.md,Scott Alexander-Bown,2015-06-26
README.md,Scott Alexander-Bown,2015-06-19
README.md,Scott Alexander-Bown,2015-06-19
.circleci/config.yml,Scott Alexander-Bown,2024-09-12
.circleci/config.yml,Scott Alexander-Bown,2021-05-08
.circleci/config.yml,Matthew Rollings,2020-02-07
.circleci/config.yml,mat,2020-02-04
.circleci/config.yml,Matthew Rollings,2018-06-14
.circleci/config.yml,Matthew Rollings,2018-05-11
.circleci/config.yml,Matthew Rollings,2018-05-11
.circleci/config.yml,Matthew Rollings,2018-05-11
.github/ISSUE_TEMPLATE.md,Scott Alexander-Bown,2024-09-12
.github/PULL_REQUEST_TEMPLATE.md,Scott Alexander-Bown,2024-09-12
CHANGE_LOG.md,Scott Alexander-Bown,2024-09-12
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2024-09-12
app/src/main/AndroidManifest.xml,Artsem Kurantsou,2024-08-04
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2021-05-08
app/src/main/AndroidManifest.xml,Deepak PK,2020-03-11
app/src/main/AndroidManifest.xml,Matthew Rollings,2020-02-03
app/src/main/AndroidManifest.xml,Daniel Kutik,2019-11-16
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2016-07-01
app/src/main/AndroidManifest.xml,Andy Barber,2016-07-01
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2015-10-01
app/src/main/AndroidManifest.xml,Alessandro Yuichi Okimoto,2015-10-01
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2015-06-26
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2015-06-19
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,grubeli,2021-11-16
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,2021-05-24
